location,lat,lon
"Delhi, India",28.6273928,77.1716954
"Gujarat, India",22.3850051,71.745261
India,22.3511148,78.6677428
"New South Wales, Australia",-31.8759835,147.2869493
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.445882
"Uttar Pradesh, India",27.1303344,80.859666
nan,34.220389,70.3800314
Ireland,52.865196,-7.9794599
Norway,61.1529386,8.7876653
Sudan,14.5844444,29.4917691
Poland,52.215933,19.134422
"Pennsylvania, United States",40.9699889,-77.7278831
Finland,63.2467777,25.9209164
Germany,51.1638175,10.4478313
Turkey,39.294076,35.2316631
"Chiang Mai, Thailand",18.7882778,98.9858802
"West Bengal, India",22.9964948,87.6855882
"Ontario, Canada",50.000678,-86.000977
Netherlands,52.2434979,5.6343227
Romania,45.9852129,24.6859225
"Central Visayas, Philippines",10.4734504,123.8648083
Italy,42.6384261,12.674297
Jordan,31.1667049,36.941628
"Qassim, Saudi Arabia",26.1942235,43.4565711
Switzerland,46.7985624,8.2319736
Armenia,40.7696272,44.6736646
Bosnia and Herzegovina,44.3053476,17.5961467
Russian Federation,64.6863136,97.7453061
"Auvergne-Rhône-Alpes, France",45.2968119,4.6604809
Sweden,59.6749712,14.5208584
Israel,30.8124247,34.8594762
Costa Rica,10.2735633,-84.0739102
"Western Cape Province, South Africa",-33.546977,20.72753
"Cordillera Administrative Region, Philippines",17.3597101,121.0716923
Spain,39.3260685,-4.8379791
"Western Australia, Australia",-25.2303005,121.0187246
Cambodia,12.5433216,104.8144914
"Korea, Republic of",36.638392,127.6961188
"National Capital Region, Philippines",14.5736108,121.0329706
"Andhra Pradesh, India",15.9240905,80.1863809
Hong Kong,22.350627,114.1849161
Croatia,45.3658443,15.6575209
"Punjab, India",30.9293211,75.5004841
Portugal,39.6621648,-8.1353519
"Saskatchewan, Canada",55.5321257,-106.141224
Mauritius,-20.2759451,57.5703566
Cyprus,34.9174159,32.8899027
France,46.603354,1.8883335
"Quebec, Canada",52.4760892,-71.8258668
Bangladesh,24.4769288,90.2934413
"Haryana, India",29.0,76.0
"Lombardia, Italy",45.5703694,9.7732524
Austria,47.59397,14.12456
Belgium,50.6402809,4.6667145
Nigeria,9.6000359,7.9999721
Hungary,47.1817585,19.5060937
Lebanon,33.8750629,35.843409
"Tehran, Iran",35.6892523,51.3896004
"NY, United States",43.1561681,-75.8449946
"Buenos Aires, Argentina",-34.6083696,-58.4440583
Chile,-31.7613365,-71.3187697
"Ciudad Autónoma de Buenos Aires, Argentina",-34.6161231,-58.4356212
"Kerala, India",10.3528744,76.5120396
"Tamil Nadu, India",10.9094334,78.3665347
"British Columbia, Canada",55.001251,-125.002441
China,35.0000663,104.999955
Japan,36.5748441,139.2394179
Malta,35.8885993,14.4476911
"Indiana, United States",40.3270127,-86.1746933
"Ohio, United States",40.2253569,-82.6881395
"Illinois, United States",40.0796606,-89.4337288
"Victoria, Australia",-36.5986096,144.6780052
"Odisha, India",20.5431241,84.6897321
"Kansas, United States",38.27312,-98.5821872
"South Carolina, United States",33.6874388,-80.4363743
"Karnataka, India",14.5203896,75.7223521
Pakistan,30.3308401,71.247499
"Nova Scotia, Canada",45.1960403,-63.1653789
Qatar,25.3336984,51.2295295
Singapore,1.357107,103.8194992
"Wellington, New Zealand",-41.2887953,174.7772114
Canada,61.0666922,-107.991707
Iceland,64.9841821,-18.1059013
"New York, NY, United States",40.7127281,-74.0060152
"Australian Capital Territory, Australia",-35.4883502,149.0026942
Malaysia,4.5693754,102.2656823
"Macedonia, Greece",40.6186482,22.9179536
"Telangana, India",17.8495919,79.1151663
Serbia,44.0243229,21.0765743
Ghana,8.0300284,-1.0800271
"Sindh, Pakistan",25.5,69.0
Viet Nam,15.9266657,107.9650855
"Texas, United States",31.2638905,-98.5456116
Slovenia,46.1199444,14.8153333
Lithuania,55.3500003,23.7499997
"Alberta, Canada",55.001251,-115.002136
"Maharashtra, India",18.9068356,75.6741579
Brazil,-10.3333333,-53.2
Macao,22.1757605,113.5514142
"Riyadh, Saudi Arabia",23.333333,45.333333
United Arab Emirates,24.0002488,53.9994829
Egypt,26.2540493,29.2675469
Denmark,55.670249,10.3333283
Morocco,28.3347722,-10.3713379
Tunisia,33.8439408,9.400138
"Prince Edward Island, Canada",46.3355508,-63.1466676
Oman,21.0000287,57.0036901
"Leuven, Belgium",50.879202,4.7011675
"Queensland, Australia",-22.1646782,144.5844903
"Virginia, United States",37.1232245,-78.4927721
"Canterbury, United Kingdom",51.2800275,1.0802533
"Arar, Saudi Arabia",30.9815531,41.0164788
Azerbaijan,40.3936294,47.7872508
"Attica, Greece",37.7561803,23.6669006
Luxembourg,49.8158683,6.1296751
"KwaZulu-Natal, South Africa",-28.503833,30.8875009
Indonesia,-2.4833826,117.8902853
"Panjab, Pakistan",31.4165275,73.0886163
"Qazvin, Iran",36.0156291,49.8398161
Nepal,28.3780464,83.9999901
"Bangkok, Thailand",13.7524938,100.4935089
"New York, United States",40.7127281,-74.0060152
"Assam, India",26.4073841,93.2551303
Namibia,-23.2335499,17.3231107
"Manitoba, Canada",55.001251,-97.001038
"Louisiana, United States",30.8703881,-92.007126
Albania,41.000028,19.9999619
"Auckland, New Zealand",-36.852095,174.7631803
"Moldova, Republic of",47.2879608,28.5670941
Kuwait,29.2733964,47.4979476
"Canterbury, New Zealand",-43.4941762,171.8098448
Colombia,4.099917,-72.9088133
Bulgaria,42.6073975,25.4856617
"Salt Lake City, Utah, United States",40.7596198,-111.886797
"Otago, New Zealand",-45.3975053,170.1778918
Algeria,28.0000272,2.9999825
Kenya,1.4419683,38.4313975
"Rajasthan, India",26.8105777,73.7684549
Libya,26.8234472,18.1236723
Philippines,12.7503486,122.7312101
Peru,-6.8699697,-75.0458515
North Macedonia,41.6171214,21.7168387
Georgia,32.3293809,-83.1137366
Réunion,-21.1309332,55.5265771
"Dehradun, India",30.3255646,78.0436813
Latvia,56.8406494,24.7537645
Czech Republic,49.7439047,15.3381061
"Castilla la mancha, Spain",39.4177902,-2.6232332
Guadeloupe,16.2528827,-61.5686855
"Cagayan Valley, Philippines",17.6722156,121.8831043
"Khyber Pakhtunkhwa, Pakistan",33.712802,71.2678805
Estonia,58.7523778,25.3319078
"Eastern Cape Province, South Africa",-32.2171831,26.6386401
Mexico,23.6585116,-102.0077097
"Tasmania, Australia",-42.035067,146.6366887
"Bihar, India",25.6440845,85.906508
Uruguay,-32.8755548,-56.0201525
"TX, United States",31.2638905,-98.5456116
"Songkhla, Thailand",7.1973429,100.593205
Belarus,53.4250605,27.6971358
"Crete, Greece",35.3084952,24.4633423
"Thessaly, Greece",39.5755929,22.1634449
"Limpopo Province, South Africa",-23.4735288,29.3959199
Ecuador,-1.3397668,-79.3666965
"South Australia, Australia",-30.5343665,135.6301212
"Waikato, New Zealand",-37.7792272,175.2010324
"Peloponnesus, Greece",37.363372,22.2394984
"North West Province, South Africa",-26.1347819,25.6546729
"North Carolina, United States",35.6729639,-79.0392919
Greece,38.9953683,21.9877132
Puerto Rico,18.2247706,-66.4858295
"New Brunswick, Canada",46.500283,-66.750183
"Utah, United States",39.4225192,-111.714358
"Budapest, Hungary",47.4813896,19.1460941
"Washington, United States",38.8950368,-77.0365427
"Bangsamoro, Philippines",5.146253,120.2269972
Belize,17.1204943,-88.6859028
"Newfoundland and Labrador, Canada",53.8217327,-61.2295532
"IN, United States",40.3270127,-86.1746933
"NV, United States",39.5158825,-116.853722
"Bavaria, Germany",48.9467562,11.4038717
Montenegro,42.9868853,19.5180992
"Yazd, Iran",32.0406164,54.6657189
"Uttarakhand, India",30.0417376,79.089691
"New Hampshire, United States",43.4849133,-71.6553992
"Razavi Khorasan, Iran",35.4795009,59.0237291
Jamaica,18.1850507,-77.3947693
"California, United States",36.7014631,-118.755997
"Ionian Sea, Greece",36.9573179,21.6569334
"Palestine, State of",42.2089211,-79.4685271
"GA, United States",32.3293809,-83.1137366
Slovakia,48.7411522,19.4528646
"Massachusetts, United States",42.3788774,-72.032366
"Chon Buri, Thailand",13.1857117,101.1210777
"Northern Mindanao, Philippines",8.3979549,124.710688
"Venezuela, Bolivarian Republic of",8.0018709,-66.1109318
Fiji,-18.1239696,179.0122737
"Congo, the Democratic Republic of the",-2.9814344,23.8222636
"San Francisco, United States",37.7792588,-122.4193286
Bahamas,24.7736546,-78.0000547
"Virgin Islands, British",18.4024395,-64.5661642
Sri Lanka,7.5554942,80.7137847
Botswana,-23.1681782,24.5928742
"MI, United States",39.7837304,-100.445882
Paraguay,-23.3165935,-58.1693445
Kazakhstan,48.1012954,66.7780818
Trinidad and Tobago,10.7466905,-61.0840075
"Aljouf, Saudi Arabia",29.9849351,40.2153172
Malawi,-13.2687204,33.9301963
"Iowa, United States",41.9216734,-93.3122705
Brunei Darussalam,4.4137155,114.5653908
"Free State Province, South Africa",-28.755885,24.787747
"null, Germany",51.658552,10.3097114
"Gilan, Iran",37.1515627,49.6389743
Guam,13.4499943,144.7651677
"Central Luzon, Philippines",15.3942729,120.6872959
Bahrain,26.1551249,50.5344606
Zimbabwe,-18.4554963,29.7468414
"Dammam, Saudi Arabia",26.4367824,50.1039991
"Kermanshah, Iran",34.486732,46.808727
Iraq,33.0955793,44.1749775
"Himachal Pradesh, India",31.9292352,77.1828462
Ukraine,49.4871968,31.2718321
Kosovo,42.5869578,20.9021231
"Berlin, Germany",52.510885,13.3989367
"Jammu, India",32.7185614,74.8580917
Barbados,13.1500331,-59.5250305
"Jeddah, Saudi Arabia",21.5504432,39.1742363
"Northern Territory, Australia",-19.8516101,133.2303375
Iran,32.6475314,54.5643516
"Ilocos, Philippines",17.2,120.5
"Córdoba, Argentina",-31.4166867,-64.1834193
Australia,-24.7761086,134.755
Cuba,23.0131338,-80.8328748
"Pathum Thani, Thailand",14.048667,100.5640405
"Mahasarakham, Thailand",16.1792447,103.3132051
"Zanjan, Iran",36.515854,48.4777616
"Jiangsu, China",33.0000001,119.9999999
"Tanzania, United Republic of",-6.5247123,35.7878438
"Qom, Iran",34.6422939,50.8801184
French Guiana,4.0039882,-52.999998
"London, United Kingdom",51.4893335,-0.1440551
"Jharkhand, India",23.4559809,85.2557301
Gabon,-0.8999695,11.6899699
"Goa, India",15.3004543,74.0855134
Mozambique,-19.302233,34.9144977
"Nakhon Pathom, Thailand",13.8190071,100.0639917
Senegal,14.4750607,-14.4529612
"KP, Pakistan",33.712802,71.2678805
"Nagaland, India",26.1630556,94.5884911
Bhutan,27.549511,90.5119273
"Isfahan, Iran",32.6707877,51.6650002
Cameroon,4.6125522,13.1535811
Togo,8.7800265,1.0199765
Yemen,16.3471243,47.8915271
Grenada,12.1360374,-61.6904045
"Michigan, United States",43.6211955,-84.6824346
"Epirus, Greece",39.6501917,20.6908456
Lesotho,-29.6039267,28.3350193
Ethiopia,10.2116702,38.6521203
"Georgia, United States",32.3293809,-83.1137366
